id,student_id,roll_no,doc_type,purpose,status,requested_on,ready_on
1,7,25BCP007,Bonafide Certificate,Scholarship application,processing,2026-08-05,
2,28,25BIT006,Fee Payment Receipt,Local train / bus concession pass,pending,2026-08-21,
3,30,25BIT008,Internship NOC,Internship joining formalities,ready,2026-07-27,2026-08-03
4,31,25BIT009,Course Completion Letter,Higher-studies application abroad,ready,2026-08-16,2026-08-22
5,34,25BEC002,Bonafide Certificate,Internship joining formalities,pending,2026-07-17,
6,44,25BME006,Internship NOC,Bank account opening (student),ready,2026-07-11,2026-07-15
7,49,25BCE005,Course Completion Letter,Bank account opening (student),processing,2026-06-21,
8,69,26BCP013,Bus Pass,Visa application,ready,2026-08-01,2026-08-06
9,71,26BCP015,Course Completion Letter,Internship joining formalities,processing,2026-07-31,
10,81,26BIT003,Bus Pass,Bank account opening (student),processing,2026-08-03,
11,89,26BEC001,Migration Certificate,Local train / bus concession pass,ready,2026-07-01,2026-07-04
12,106,26BCE006,Official Transcript,Education loan from bank,ready,2026-08-09,2026-08-11
13,112,26BCH006,Migration Certificate,Bank account opening (student),ready,2026-08-15,2026-08-19
