id,author_user_id,scope,scope_ref,title,body,audience_roles,posted_at
1,143,university,,Odd Semester 2026-27 fee payment window open,The tuition and other fees for the odd semester 2026-27 must be paid through the student portal by 12 September 2026. A late fee of Rs. 500 per week applies thereafter.,"student,faculty,admin",2026-08-12T09:00:00
2,147,university,,Internal Test 1 timetable published,The consolidated Internal Test 1 schedule for all B.Tech programmes is now available on the department notice boards and the portal. Tests run from 20 to 25 August 2026.,"student,faculty,admin",2026-08-19T09:00:00
3,145,university,,Library working hours extended,From 1 August 2026 the Central Library will remain open until 23:00 on weekdays and 20:00 on weekends to support students during the assessment period.,"student,faculty,admin",2026-08-24T09:00:00
4,146,university,,Diwali vacation 7-15 November 2026,The institute will remain closed for the Diwali vacation from 7 to 15 November 2026. Classes resume on 16 November 2026.,"student,faculty,admin",2026-07-27T09:00:00
5,146,university,,TReDS / campus placement drive registration,Eighth-semester students may register for the 2026-27 campus placement season on the Training & Placement portal by 5 September 2026.,"student,faculty,admin",2026-08-14T09:00:00
6,145,university,,Anti-ragging committee helpline,Students are reminded that the anti-ragging helpline (toll free) and the online complaint form are active round the clock. All complaints are handled confidentially.,"student,faculty,admin",2026-08-06T09:00:00
7,145,university,,Convocation 2026 - graduating batch,The annual convocation for the graduating batch will be held on 20 December 2026 at the institute auditorium. Registration details to follow.,"student,faculty,admin",2026-08-07T09:00:00
8,116,department,CP,Project allocation for final year,Final-year Computer Science students should submit their project group and preferred domain through the department portal by 31 Aug 2026. Guide allocation will be announced the following week.,"student,faculty",2026-08-16T10:30:00
9,116,department,CP,Guest lecture: industry perspectives,The Computer Science department is hosting a guest lecture on emerging industry trends on 20 Sep 2026 at 15:00 in the seminar hall. Attendance is recommended for fifth and seventh semester students.,"student,faculty",2026-07-23T10:30:00
10,117,department,IT,Guest lecture: industry perspectives,The Information & Communication Technology department is hosting a guest lecture on emerging industry trends on 13 Aug 2026 at 15:00 in the seminar hall. Attendance is recommended for fifth and seventh semester students.,"student,faculty",2026-08-20T10:30:00
11,117,department,IT,Project allocation for final year,Final-year Information & Communication Technology students should submit their project group and preferred domain through the department portal by 07 Aug 2026. Guide allocation will be announced the following week.,"student,faculty",2026-08-15T10:30:00
12,124,department,EC,Project allocation for final year,Final-year Electronics & Communication students should submit their project group and preferred domain through the department portal by 05 Sep 2026. Guide allocation will be announced the following week.,"student,faculty",2026-07-26T10:30:00
13,124,department,EC,Department sports and cultural week,The Electronics & Communication department sports and cultural week runs from 01 Aug 2026. Sign-up sheets are on the department notice board.,"student,faculty",2026-08-07T10:30:00
14,125,department,ME,Department sports and cultural week,The Mechanical department sports and cultural week runs from 15 Sep 2026. Sign-up sheets are on the department notice board.,"student,faculty",2026-08-06T10:30:00
15,125,department,ME,Guest lecture: industry perspectives,The Mechanical department is hosting a guest lecture on emerging industry trends on 27 Aug 2026 at 15:00 in the seminar hall. Attendance is recommended for fifth and seventh semester students.,"student,faculty",2026-08-16T10:30:00
16,131,department,CE,Project allocation for final year,Final-year Civil students should submit their project group and preferred domain through the department portal by 01 Sep 2026. Guide allocation will be announced the following week.,"student,faculty",2026-08-02T10:30:00
17,131,department,CE,Lab safety briefing - mandatory,All Civil students enrolled in laboratory courses this semester must attend the lab safety and conduct briefing on 14 Sep 2026. Entry to labs requires a signed undertaking.,"student,faculty",2026-08-03T10:30:00
18,133,department,CH,Department sports and cultural week,The Chemical department sports and cultural week runs from 04 Aug 2026. Sign-up sheets are on the department notice board.,"student,faculty",2026-08-09T10:30:00
19,133,department,CH,Project allocation for final year,Final-year Chemical students should submit their project group and preferred domain through the department portal by 09 Aug 2026. Guide allocation will be announced the following week.,"student,faculty",2026-08-21T10:30:00
20,135,course,24CH101T,Engineering Chemistry: lecture rescheduled,Tomorrow's Engineering Chemistry lecture is rescheduled to the 16:15 slot due to a faculty meeting. The venue is unchanged.,student,2026-08-26T18:00:00
21,113,course,24CS203T,Data Structures: Assignment 2 deadline reminder,Assignment 2 for Data Structures is due on 24 Aug 2026. Submit through the portal; no email submissions will be accepted.,student,2026-08-15T18:00:00
22,127,course,24ME203T,Thermodynamics: extra doubt-solving session,An additional doubt-solving session for Thermodynamics will be held on 21 Aug 2026 before Internal Test 1. Bring your questions.,student,2026-08-21T18:00:00
23,138,course,24HS101T,English Communication: syllabus checkpoint,We have completed Units 1-3 of English Communication. Internal Test 1 will cover these units. Unit 4 begins next week.,student,2026-08-21T18:00:00
24,131,course,24CV204T,Solid Mechanics: Assignment 2 deadline reminder,Assignment 2 for Solid Mechanics is due on 26 Aug 2026. Submit through the portal; no email submissions will be accepted.,student,2026-08-18T18:00:00
25,139,course,24MA101T,Mathematics - I: Assignment 2 deadline reminder,Assignment 2 for Mathematics - I is due on 02 Sep 2026. Submit through the portal; no email submissions will be accepted.,student,2026-08-12T18:00:00
